,State,Station,Spoke ,address,gmap_latitude,gmap_longitude
0,Telangana,Warangal,FMCG-WARANGAL - ER,"Warangal, Telangana",17.9689008,79.59405439999999
1,Telangana,Alair,FMCG-ALAIR - ER,"Alair, Telangana",17.6437392,79.0430485
2,Telangana,Mahabubabad,FMCG-MAHABUBABAD - ER,"Mahabubabad, Telangana",17.602625,80.00361989999999
3,Telangana,Shadnagar,FMCG-SHADNAGAR - ER,"Shadnagar, Telangana",17.0712949,78.2058966
4,Telangana,Wanaparthy,FMCG-WANAPARTHY - ER,"Wanaparthy, Telangana",16.3623118,78.0621824
5,Telangana,NIZAMABAD (TELANGANA),FMCG-NIZAMABAD - ER,"NIZAMABAD (TELANGANA), Telangana",18.6725047,78.09408669999999
6,Telangana,Karimnagar,FMCG-KARIMNAGAR - ER,"Karimnagar, Telangana",18.4385553,79.1288412
7,Telangana,Nalgonda,FMCG-NALGONDA - ER,"Nalgonda, Telangana",17.0574663,79.26841689999999
8,Telangana,Suryapet,FMCG-SURYAPET - ER,"Suryapet, Telangana",17.1313756,79.6336242
9,Telangana,Kalwakurthy,FMCG-KALWAKURTHY - ER,"Kalwakurthy, Telangana",16.6684995,78.4906395
10,Telangana,Siddipet,FMCG-SIDDIPET - ER,"Siddipet, Telangana",18.1017996,78.8519601
11,Telangana,Khammam,FMCG-KHAMMAM - ER,"Khammam, Telangana",17.2472528,80.1514447
12,Telangana,Medak,FMCG-MEDAK - ER,"Medak, Telangana",18.0529357,78.261853
13,Tamil Nadu,Alangudi,FMCG-ALANKUDI - ER,"Alangudi, Tamil Nadu",10.3611135,78.97959999999999
14,Tamil Nadu,Mayiladuthurai,FMCG-MAYILADUTHURAI - ER,"Mayiladuthurai, Tamil Nadu",11.1017705,79.6525686
15,Tamil Nadu,Manapparai,FMCG-MANAPARAI - ER,"Manapparai, Tamil Nadu",10.6089324,78.42332669999999
16,Tamil Nadu,Ariyalur,FMCG-ARIYALUR - ER,"Ariyalur, Tamil Nadu",11.1400585,79.0786281
17,Tamil Nadu,Tiruvannamalai,FMCG-TIRUVANNAMALAI - ER,"Tiruvannamalai, Tamil Nadu",12.2252841,79.07469569999999
18,Tamil Nadu,Vellore,FMCG-VELLORE - ER,"Vellore, Tamil Nadu",12.9165167,79.13249859999999
19,Tamil Nadu,Villupuram,FMCG-VILUPPURAM - ER,"Villupuram, Tamil Nadu",11.9401378,79.4861449
20,Tamil Nadu,Mannargudi,FMCG-MANNARGUDI - ER,"Mannargudi, Tamil Nadu",10.6648689,79.45071519999999
21,Tamil Nadu,Dindigul,FMCG-DINDIGUL - ER,"Dindigul, Tamil Nadu",10.3623794,77.9694579
22,Tamil Nadu,Sankarankoil,FMCG-SANKARANKOLI - ER,"Sankarankoil, Tamil Nadu",9.177796599999999,77.5351242
23,Tamil Nadu,Aruppukkottai,FMCG-ARUPPUKKOTTAI - ER,"Aruppukkottai, Tamil Nadu",9.5139114,78.100168
24,Tamil Nadu,Usilampatti,FMCG-USILAMPATTI - ER,"Usilampatti, Tamil Nadu",9.9651242,77.78850039999999
25,Tamil Nadu,Krishnagiri,FMCG-KRISHNAGIRI - ER,"Krishnagiri, Tamil Nadu",12.5265661,78.2149575
26,Tamil Nadu,Kallakkurichi,FMCG-KALLAKKURICHI - ER,"Kallakkurichi, Tamil Nadu",11.7383735,78.9638899
27,Tamil Nadu,Kancheepuram,FMCG-KANCHEEPURAM - ER,"Kancheepuram, Tamil Nadu",12.818456,79.6946586
28,Tamil Nadu,Tirunelveli,FMCG-TIRUNELVELI - ER,"Tirunelveli, Tamil Nadu",8.715017999999999,77.765628
29,Tamil Nadu,Virudhachalam,FMCG-VIRUDHACHALAM - ER,"Virudhachalam, Tamil Nadu",11.515868,79.3268894
30,Tamil Nadu,Paramakudi,FMCG-PARAMAKUDI - ER,"Paramakudi, Tamil Nadu",9.5493536,78.5890663
31,Tamil Nadu,Dharmapuri,FMCG-DHARMAPURI - ER,"Dharmapuri, Tamil Nadu",12.1210997,78.1582143
32,Tamil Nadu,Salem,FMCG-SALEM - ER,"Salem, Tamil Nadu",11.664325,78.1460142
33,Tamil Nadu,Namakkal,FMCG-NAMAKKAL - ER,"Namakkal, Tamil Nadu",11.2193848,78.16784179999999
34,Tamil Nadu,Melur,FMCG-MELUR - ER,"Melur, Tamil Nadu",10.0312879,78.33821170000002
35,Tamil Nadu,Karaikudi,FMCG-KARAIKUDI - ER,"Karaikudi, Tamil Nadu",10.07354,78.773198
36,Tamil Nadu,Karunguzhi,FMCG-KARUNGUZHI - ER,"Karunguzhi, Tamil Nadu",12.5319246,79.90391939999999
37,Tamil Nadu,Pollachi,FMCG-POLLACHI - ER,"Pollachi, Tamil Nadu",10.6608925,77.00475899999999
38,Tamil Nadu,Karur,FMCG-KARUR - ER,"Karur, Tamil Nadu",10.9600778,78.07660360000001
39,Tamil Nadu,Gobichettipalayam,FMCG-GOBICHETTIPALAYAM - ER,"Gobichettipalayam, Tamil Nadu",11.4549451,77.4365196
40,Tamil Nadu,Periyapalayam,FMCG-PERIYAPALAYAM - ER,"Periyapalayam, Tamil Nadu",13.3104613,80.04703339999999
41,Tamil Nadu,Vandavasi,FMCG-VANDAVASI - ER,"Vandavasi, Tamil Nadu",12.5028829,79.60248000000001
42,Tamil Nadu,Tiruchirapally,FMCG-TIRUCHIRAPPALLI - ER,"Tiruchirapally, Tamil Nadu",10.7904833,78.7046725
43,Karnataka,Raichur,FMCG-RAICHUR - ER,"Raichur, Karnataka",16.216018,77.3565608
44,Karnataka,Kadur,FMCG-KADUR - ER,"Kadur, Karnataka",13.5485598,76.00842589999999
45,Karnataka,Davangere,FMCG-DAVANGERE - ER,"Davangere, Karnataka",14.4644085,75.921758
